Name,Name,Type,Developer,Origin,Approved
Comirnaty,Comirnaty,RNA,Pfizer/BioNTech,Multinational,"Albania, Andorra, Argentina, Aruba, Australia, Bahrain, Brazil, Canada, Caribbean, Chile, Colombia, Costa Rica, Ecuador, European Union, Faroe Islands, Greenland, Hong Kong, Iceland, Iraq, Israel, Japan, Jordan, Kuwait, Lebanon, Liechtenstein, Malaysia, Mexico, Monaco, New Zealand, North Macedonia, Norway, Oman, Panama, Philippines, Qatar, Rwanda, Saint Vincent and the Grenadines, Saudi Arabia, Serbia, Singapore, South Africa, South Korea, Suriname, Switzerland, UAE, UK, US, Vatican City, WHO"
Moderna COVID‑19 Vaccine,Moderna COVID‑19 Vaccine,RNA,"Moderna, NIAID",US,"Andorra, Canada, European Union, Faroe Islands, Greenland, Iceland, Israel, Liechtenstein, Norway, Qatar, Saint Vincent and the Grenadines, Singapore, Switzerland, United Kingdom, United States, Vietnam"
Covishield,Covishield,Non Replicating Viral Vector,Oxford/AstraZeneca,UK,"Andorra, Argentina, Bahrain, Bangladesh, Barbados, Brazil, Canada, Chile, Colombia, Dominican Republic, Ecuador, Egypt, El Salvador, Ethiopia, European Union, Faroe Islands, Gambia, Ghana, Greenland, Guyana, Hungary, Iceland, India, Indonesia, Iraq, Ivory Coast, Kenya, Lesotho, Malawi, Malaysia, Maldives, Mauritius, Mexico, Morocco, Myanmar, Nepal, Nigeria, Norway, Pakistan, Philippines, Rwanda, Saint Vincent and the Grenadines, Serbia, Sierra Leone, South Korea, Sri Lanka, Sudan, Suriname, Taiwan, Thailand, Uganda, UK, Vietnam, WHO"
Sputnik V,Sputnik V,Non Replicating Viral Vector,Gamaleya,Russia,"Algeria, Angola, Argentina, Armenia, Azerbaijan, Bahrain, Belarus, Bolivia, Congo, Djibouti, Egypt, Gabon, Ghana, Guatemala, Guinea, Guyana, Honduras, Hungary, Iran, Iraq, Jordan, Kazakhstan, Kenya, Kyrgyzstan, Laos, Lebanon, Mexico, Moldova, Mongolia, Montenegro, Morocco, Myanmar, Namibia, Nicaragua, North Macedonia, Pakistan, Palestine, Paraguay, Republika Srpska, Russia, Saint Vincent and the Grenadines, San Marino, Serbia, Slovakia, Sri Lanka, Syria, Tunisia, Turkmenistan, United Arab Emirates, Uzbekistan, Venezuela, Zimbabwe"
COVID-19 Vaccine Janssen ,COVID-19 Vaccine Janssen ,Non Replicating Viral Vector,Johnson & Johnson,"The Netherlands, US","Andorra, Bahrain, Canada, European Union, Faroe Islands, Greenland, Iceland, Liechtenstein, Norway, Saint Vincent and the Grenadines, Switzerland, US, WHO"
CoronaVac,CoronaVac,Inactivated,Sinovac,China,"Azerbaijan, Bolivia, Brazil, Cambodia, China, Chile, Colombia, Dominican Republic, Ecuador, Hong Kong, Indonesia, Laos, Malaysia, Mexico, Paraguay, Philippines, Thailand, Tunisia, Turkey, Ukraine, Uruguay, Zimbabwe"
BBIBP-CorV,BBIBP-CorV,Inactivated,Sinopharm (Beijing),China,"Afghanistan, Algeria, Argentina, Bahrain, Bolivia, Cambodia, China, Egypt, Equatorial Guinea, Gabon, Guyana, Hungary, Iraq, Jordan, Kyrgyzstan, Laos, Macau, Maldives, Mongolia, Morocco, Mozambique, Namibia, Nepal, Pakistan, Peru, Senegal, Serbia, Seychelles, Sierra Leone, Sri Lanka, UAE, Venezuela, Zimbabwe"
EpiVacCorona,EpiVacCorona,Protein Subunit,FBRI SRC VB,Russia,"Russia, Turkmenistan"
Convidecia,Convidecia,Non Replicating Viral Vector,CanSino Biologics Inc.,China,"China, Hungary, Mexico, Pakistan"
Covaxin,Covaxin,Inactivated,Bharat Biotech,India,"India, Iran, Nepal, Zimbabwe"
No name announced,No name announced,Inactivated,Sinopharm (Wuhan),China,China
CoviVac,CoviVac,Inactivated,Chumakov,Russia,Russia
RBD-Dimer,RBD-Dimer,Recombinant vaccine,Anhui Zhifei Longcom,"China, Uzbekistan","China, Uzbekistan"
